"","FundingOrganization","FY","A1..Amyloid","A2..Tau","A3..Presenilins","A4..ApoE.and.Lipids","A5..Brain.Circuits.and.Synapses","A6..Cell.Death","A7..Immunity.and.Inflammation","A8..Bioenergetics","A9..Vascular..Metabolic.Factors","A10..Hormones","A11..Genetics","A12..Other.Pathogenic.Mechanisms","A..Molecular.Pathogenesis.and.Physiology.of.Alzheimer.s.Disease..Total.Funding.","B1..Fluid.Biomarkers","B2..Imaging.Biomarkers","B3..Cognitive..Behavioral.and.Functional.Assessment","B4..Multimodal.Biomarkers","B5..Novel.Biomarkers","B6..Novel.Methodologies.and.Techniques","B7..Other","B..Diagnosis..Assessment.and.Disease.Monitoring..Total.Funding.","C1..Drug.Discovery..small.molecules.and.biologics.","C2..Preclinical.Drug.Development..small.molecules.and.biologics.","C3..Preclinical.Proof.of.Concept.for.Non.Pharmacological.Interventions","C4..Clinical.Trial.Design","C5..Early.stage.Clinical.Drug.Development..Phase.I.and.II.Clinical.Trials.","C6..Late.Stage.Clinical.Drug.Development...Phase.III.Clinical.Trials.","C7..Non.Pharmacological.Interventions..Clinical.Trials","C8..Clinical.Therapy.Development.for.the.Neuropsychiatric.Symptoms.of.AD","C9..Clinical.Ethics","C10..Other","C..Translational.Research.and.Clinical.Interventions..Total.Funding.","D1..Genetic..Epigenetic.Risks","D2..Cardiovascular.and.Metabolic.Factors","D3..Nutrition.and.Other.Environmental.Factors","D4..Multimodal.Risk.Factors","D5..Other","D..Epidemiology..Total.Funding.","E1..Care.Interventions.and.Quality.of.Life","E2..Technology.Assisted.Care","E3..Caregiver.Support","E4..Cultural.Values.and.Beliefs","E5..Economic.Burden.of.Alzheimer.s.Disease","E6..Other","E..Care..Support.and.Health.Economics.of.Alzheimer.s.Disease..Total.Funding.","TotalADResearchFunding"
"4","Fogarty International Center (NIH/FIC)",2011,0,57325,0,0,0,0,103526,0,0,0,0,0,160851,0,0,0,0,0,0,0,0,70352,0,0,0,0,0,0,0,0,0,70352,0,0,0,126850,0,126850,0,0,162170,0,0,0,162170,520223
"8","National Center for Complementary and Alternative Medicine (NIH/NCCAM)",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127778,0,0,127778,0,0,1546349,0,0,0,0,0,0,0,1546349,0,266871,0,0,0,266871,0,0,0,0,0,0,0,1940998
"12","National Cancer Institute (NIH/NCI)",2011,642558,0,0,0,0,0,443620,0,0,0,0,0,1086178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086178
"16","National Institute on Minority Health and Health Disparities (NIH/NIMHD)",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","National Center for Research Resources (NIH/NCRR)",2011,15376,0,0,0,0,0,0,101886,0,0,0,0,117262,0,0,41159,0,0,0,0,41159,0,0,0,0,0,0,0,0,0,0,0,0,43647,0,0,0,43647,0,0,0,0,0,0,0,202068
"24","National Eye Institute (NIH/NEI)",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","National Human Genome Research Institute (NIH/NHGRI)",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596485,0,596485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596485
"32","National Heart, Lung, and Blood Institute (NIH/NHLBI)",2011,248802,0,0,396250,0,0,0,0,0,0,0,0,645052,0,4322072,0,0,0,0,0,4322072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4967124
"36","National Institute on Aging (NIH/NIA)",2011,30282974,6352686,1862937,9529389,6816306,6296015,7902777,3422786,3617098,1827969,15407741,3927526,97246204,4358521,23790577,6830878,23126857,1475643,1295924,0,60878400,11839512,9341823,0,561235,5321612,115344,7898353,3383559,0,0,38461438,6067388,1664630,1718738,18169904,2195849,29816509,1339084,135061,2457950,0,882752,41800,4856647,231259198
"40","National Institute of Allergy and Infectious Diseases (NIH/NIAID)",2011,470727,0,0,0,0,0,423750,0,0,0,0,0,894477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894477
