"","FundingOrganization","FY","A1..Amyloid","A2..Tau","A3..Presenilins","A4..ApoE.and.Lipids","A5..Brain.Circuits.and.Synapses","A6..Cell.Death","A7..Immunity.and.Inflammation","A8..Bioenergetics","A9..Vascular..Metabolic.Factors","A10..Hormones","A11..Genetics","A12..Other.Pathogenic.Mechanisms","A..Molecular.Pathogenesis.and.Physiology.of.Alzheimer.s.Disease..Total.Funding.","B1..Fluid.Biomarkers","B2..Imaging.Biomarkers","B3..Cognitive..Behavioral.and.Functional.Assessment","B4..Multimodal.Biomarkers","B5..Novel.Biomarkers","B6..Novel.Methodologies.and.Techniques","B7..Other","B..Diagnosis..Assessment.and.Disease.Monitoring..Total.Funding.","C1..Drug.Discovery..small.molecules.and.biologics.","C2..Preclinical.Drug.Development..small.molecules.and.biologics.","C3..Preclinical.Proof.of.Concept.for.Non.Pharmacological.Interventions","C4..Clinical.Trial.Design","C5..Early.stage.Clinical.Drug.Development..Phase.I.and.II.Clinical.Trials.","C6..Late.Stage.Clinical.Drug.Development...Phase.III.Clinical.Trials.","C7..Non.Pharmacological.Interventions..Clinical.Trials","C8..Clinical.Therapy.Development.for.the.Neuropsychiatric.Symptoms.of.AD","C9..Clinical.Ethics","C10..Other","C..Translational.Research.and.Clinical.Interventions..Total.Funding.","D1..Genetic..Epigenetic.Risks","D2..Cardiovascular.and.Metabolic.Factors","D3..Nutrition.and.Other.Environmental.Factors","D4..Multimodal.Risk.Factors","D5..Other","D..Epidemiology..Total.Funding.","E1..Care.Interventions.and.Quality.of.Life","E2..Technology.Assisted.Care","E3..Caregiver.Support","E4..Cultural.Values.and.Beliefs","E5..Economic.Burden.of.Alzheimer.s.Disease","E6..Other","E..Care..Support.and.Health.Economics.of.Alzheimer.s.Disease..Total.Funding.","TotalADResearchFunding"
"2","Fogarty International Center (NIH/FIC)",2009,0,57904,0,0,0,0,50309,0,0,0,0,0,108213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108213
"6","National Center for Complementary and Alternative Medicine (NIH/NCCAM)",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127778,0,0,127778,0,0,1625379,0,0,0,147530,0,0,0,1772909,0,0,0,0,0,0,288941,0,182738,0,0,159250,630929,2531616
"10","National Cancer Institute (NIH/NCI)",2009,1261930,0,0,0,0,0,385579,0,0,0,202788,64278,1914575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914575
"14","National Institute on Minority Health and Health Disparities (NIH/NIMHD)",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","National Center for Research Resources (NIH/NCRR)",2009,67637,0,0,106598,0,0,0,0,0,0,0,0,174235,0,0,54800,0,0,0,0,54800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3406,0,3406,0,0,0,0,0,0,0,232441
"22","National Eye Institute (NIH/NEI)",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271750,271750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271750
"26","National Human Genome Research Institute (NIH/NHGRI)",2009,0,0,0,0,0,0,0,0,0,0,1158136,0,1158136,0,0,0,0,0,362180,0,362180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520316
"30","National Heart, Lung, and Blood Institute (NIH/NHLBI)",2009,0,0,0,716837,0,1915627,0,0,0,0,0,0,2632464,0,0,0,379817,0,0,0,379817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3012281
"34","National Institute on Aging (NIH/NIA)",2009,36090008,7790033,2670843,11579977,9647717,5920767,11329576,3202345,3613488,4233938,28273059,322980,124674731,4173413,30307430,10194590,15397815,5319162,795344,0,66187754,9450059,8910141,463151,55440,8720016,6641998,7247497,3063219,1009169,0,45560690,6599618,2698046,1775325,23408931,423448,34905368,1514411,137997,4285210,0,1526997,41176,7505791,278834334
"38","National Institute of Allergy and Infectious Diseases (NIH/NIAID)",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIH/NIAMS)",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","National Institute of Biomedical Imaging and Bioengineering (NIH/NIBIB)",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682025,0,0,0,448084,0,1130109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130109
"50","National Institute of Child Health and Human Development (NIH/NICHD)",2009,983524,0,0,44632,578030,0,0,188650,0,0,0,50054,1844890,0,0,0,952115,0,0,0,952115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2797005
"54","National Institute on Drug Abuse (NIH/NIDA)",2009,0,0,0,0,0,0,376250,0,0,0,0,0,376250,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,401250
"58","National Institute on Deafness and Other Communication Disorders (NIH/NIDCD)",2009,0,0,0,0,728029,0,0,0,0,0,0,0,728029,0,527155,0,733440,406309,750001,0,2416905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326188,0,0,0,0,0,326188,3471122
"62","National Institute of Diabetes and Digestive and Kidney Diseases (NIH/NIDDK)",2009,2792550,0,0,0,0,0,724055,0,712775,0,0,0,4229380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4229380
"66","National Institute of Environmental Health Sciences (NIH/NIEHS)",2009,678444,0,0,288563,0,0,1726382,0,478205,690060,0,258193,4119847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262565,262565,0,0,0,0,0,0,0,4382412
