Name: “Table 1 of 1 on page 5 of 12”,Name: “Table 1 of 1 on page 5 of 12”,Name: “Table 1 of 1 on page 5 of 12”,Name: “Table 1 of 1 on page 5 of 12”
Table: 5,Table: 5,Table: 5,Table: 5
,,,
Medicines in Development for Alzheimer’s Disease,Medicines in Development for Alzheimer’s Disease,Medicines in Development for Alzheimer’s Disease,
"Alzheimer’s Disease, Therapeutics","Alzheimer’s Disease, Therapeutics",,
Product Name,Sponsor,Indication,Development Phase*
AAB-003/PF-05236812,Janssen Alzheimer Immunotherapy,Alzheimer’s disease,Phase I
(beta-amyloid protein inhibitor,"South San Francisco, CA",,www.janssenrnd.com
mAb),Pfizer,,www.pfizer.com
,"New York, NY",,
ABT-126,AbbVie,Alzheimer’s disease,Phase II
(alpha-7-NNR antagonist),"North Chicago, IL",,www.abbvie.com
ABT-354,AbbVie,Alzheimer’s disease,Phase I
(serotinin 5-HT6 receptor,"North Chicago, IL",,www.abbvie.com
antagonist),,,
ABT-957,AbbVie,Alzheimer’s disease,Phase I
(calpain inhibitor),"North Chicago, IL",,www.abbvie.com
AC-1204,Accera,mild to moderate Alzheimer’s disease,Phase II/III
(glucose stimulant),"Broomfield, CO",,www.accerapharma.com
AD02 vaccine,Affiris,Alzheimer’s disease,Phase II
(amyloid-beta protein inhibitor),"Vienna, Austria",,www.affiris.com
,GlaxoSmithKline,,www.gsk.com
,"Rsch. Triangle Park, NC",,
AD03 vaccine,Affiris,Alzheimer's disease,Phase I
(amyloid-beta protein inhibitor),"Vienna, Austria",,www.affiris.com
,GlaxoSmithKline,,www.gsk.com
,"Rsch. Triangle Park, NC",,
APH-0703,Aphios,Alzheimer’s disease,Phase II
(protein kinase C stimulant),"Woburn, MA",,www.aphios.com
ARC029,Archer Pharmaceuticals,Alzheimer’s disease,Phase I/II
(nilvadipine),"Sarasota, FL",,www.archerpharma.com
ARC031,Archer Pharmaceuticals,Alzheimer’s disease,Phase I
(soluble amyloid reducing/clearing,"Sarasota, FL",,www.archerpharma.com
agent),,,
AVN 101,Avineuro Pharmaceuticals,Alzheimer’s disease,Phase II
(serotonin 5-HT6 receptor,"San Diego, CA",,www.avineuro.com
antagonist),,,
AVN 322,Avineuro Pharmaceuticals,Alzheimer’s disease,Phase I
(serotonin 6 receptor antagonist),"San Diego, CA",,www.avineuro.com
"*For more information about a specific medicine or company in the report, please use the website provided.","*For more information about a specific medicine or company in the report, please use the website provided.","*For more information about a specific medicine or company in the report, please use the website provided.",
Medicines in Development,Alzheimer’s Disease 2013,,5
